season,season_label,team,players_tracked,avg_reg_fta_per_g,avg_po_fta_per_g,avg_fta_per_g_change,avg_fta_per_g_pct_change,sum_reg_fta_total,sum_po_fta_total,avg_reg_fga_per_g,avg_po_fga_per_g,avg_fga_per_g_pct_change,sum_reg_fga_total,sum_po_fga_total,avg_fta_rate_change,avg_fta_change_minus_fga_change
2010,2009-10,ATL,5,3.7399999999999998,3.7600000000000002,0.01999999999999984,0.020500795500795456,1491.0,207.0,12.64,12.52,-0.014292861609934768,5001.0,689.0,0.006042679464539119,0.03479365711073022
2010,2009-10,BOS,5,3.9200000000000004,3.7600000000000002,-0.16000000000000006,-0.04268832943013273,1469.0,447.0,10.7,11.52,0.03986376664685942,4038.0,1363.0,-0.021795170926864067,-0.08255209607699215
2010,2009-10,CHA,5,3.96,3.9200000000000004,-0.039999999999999904,-0.13929618768328444,1418.0,78.0,10.78,9.620000000000001,-0.135415871106183,4037.0,192.0,-0.059349277984929595,-0.003880316577101439
2010,2009-10,CHI,5,3.44,3.4,-0.039999999999999945,-0.03731531647240235,1282.0,85.0,11.0,12.919999999999998,0.1160242327839867,4117.0,323.0,-0.04659893052660282,-0.15333954925638907
2010,2009-10,CLE,5,4.34,4.74,0.40000000000000024,0.0968589234794368,1535.0,260.0,10.74,9.120000000000001,-0.22130675898031313,3835.0,501.0,0.18000720114846142,0.31816568245974997
2010,2009-10,DAL,3,4.2,3.5,-0.6999999999999998,-0.2784321915900863,993.0,63.0,14.133333333333333,13.0,-0.08302789969456635,3315.0,234.0,-0.03974842279839296,-0.19540429189551997
2010,2009-10,DEN,5,5.36,5.74,0.38,0.04422318401807986,1977.0,165.0,12.16,10.98,-0.1391884541465714,4465.0,324.0,0.12149906845319398,0.18341163816465128
2010,2009-10,LAL,5,4.38,4.24,-0.1399999999999999,-0.09968854568854565,1552.0,485.0,12.74,12.28,-0.050398144710343006,4580.0,1414.0,-0.0030506414204250266,-0.04929040097820264
2010,2009-10,MIA,5,3.88,3.0,-0.8800000000000001,-0.17788012525109298,1470.0,75.0,11.56,11.2,-0.021323481668196153,4382.0,280.0,-0.0712539536815763,-0.15655664358289684
2010,2009-10,MIL,3,3.533333333333333,3.4333333333333336,-0.0999999999999998,0.05864303411473229,589.0,72.0,12.866666666666667,13.266666666666666,-0.0005505505505505696,2388.0,279.0,0.011892801737130912,0.05919358466528283
2010,2009-10,OKC,5,4.52,4.86,0.34000000000000025,0.06489262371615315,1832.0,146.0,11.82,11.319999999999999,-0.07046266328814359,4785.0,339.0,0.05599501405689995,0.13535528700429672
2010,2009-10,ORL,5,4.220000000000001,4.380000000000001,0.16000000000000023,-0.05023486901535679,1670.0,307.0,9.7,8.76,-0.11894409230993572,3764.0,613.0,0.051761388265530416,0.06870922329457894
2010,2009-10,PHO,5,3.5799999999999996,4.3,0.7200000000000001,0.22476530482140586,1451.0,344.0,11.0,10.940000000000001,-0.007207747343417158,4441.0,876.0,0.05366065353308534,0.23197305216482303
2010,2009-10,POR,5,4.14,4.8,0.6600000000000001,0.29997465125174105,1533.0,135.0,11.28,11.66,0.1211729036729037,4237.0,317.0,0.02697878693600226,0.17880174757883735
2010,2009-10,SAS,5,4.08,4.96,0.8800000000000001,0.19875356912590955,1499.0,248.0,11.559999999999999,12.32,0.05035584690142619,4214.0,616.0,0.056871831215016745,0.14839772222448336
2010,2009-10,UTA,5,4.18,4.58,0.3999999999999998,0.05520562770562767,1539.0,207.0,11.120000000000001,10.18,-0.1086360915685517,4124.0,451.0,0.1248887742207371,0.16384171927417937
