season,season_label,team,players_tracked,avg_reg_fta_per_g,avg_po_fta_per_g,avg_fta_per_g_change,avg_fta_per_g_pct_change,sum_reg_fta_total,sum_po_fta_total,avg_reg_fga_per_g,avg_po_fga_per_g,avg_fga_per_g_pct_change,sum_reg_fga_total,sum_po_fga_total,avg_fta_rate_change,avg_fta_change_minus_fga_change
2014,2013-14,ATL,5,3.34,3.9200000000000004,0.5800000000000001,0.09643529606480132,1219.0,137.0,10.440000000000001,10.76,0.011044622786163699,3850.0,377.0,0.027745897703571065,0.08539067327863763
2014,2013-14,BRK,5,3.1599999999999997,2.88,-0.27999999999999986,-0.061525175924028105,1137.0,168.0,9.419999999999998,9.040000000000001,-0.1298701315979534,3422.0,539.0,0.10482829532678457,0.06834495567392529
2014,2013-14,CHA,4,3.6999999999999997,2.875,-0.8249999999999998,-0.2706760106788711,1123.0,44.0,12.875,10.775,-0.23538673753844305,3853.0,154.0,0.0009461583608990423,-0.03528927314042804
2014,2013-14,CHI,5,3.7399999999999998,4.16,0.41999999999999993,0.12454528478057889,1368.0,104.0,11.1,10.959999999999999,-0.0070984517165280925,4063.0,274.0,0.035629738845128274,0.13164373649710698
2014,2013-14,DAL,5,3.12,3.0200000000000005,-0.09999999999999987,0.045190301980039205,1260.0,104.0,10.24,10.74,-0.022852772545265528,4132.0,372.0,0.049925387309893696,0.06804307452530474
2014,2013-14,GSW,5,3.02,3.22,0.2000000000000001,0.08790023592854737,1144.0,113.0,12.34,10.72,-0.1360910929779325,4744.0,375.0,0.048608721425853,0.22399132890647988
2014,2013-14,HOU,5,5.4799999999999995,5.24,-0.23999999999999994,-0.11334587334587334,1984.0,157.0,11.96,14.819999999999999,0.20317585116103992,4366.0,444.0,-0.11086709290792304,-0.31652172450691324
2014,2013-14,IND,5,3.4,3.7399999999999998,0.3400000000000002,0.10556514704524578,1357.0,356.0,11.459999999999999,11.64,0.020639958584297662,4541.0,1105.0,0.027542595534762265,0.08492518846094813
2014,2013-14,LAC,5,5.220000000000001,4.84,-0.38,-0.030526188273644318,1939.0,314.0,12.14,11.620000000000001,-0.08049895820397124,4449.0,755.0,0.07763201442065458,0.04997276993032692
2014,2013-14,MEM,5,3.12,3.8,0.6800000000000002,0.12276757484388023,1068.0,126.0,10.92,12.22,0.06447236387081653,3811.0,410.0,0.019739951621949702,0.05829521097306369
2014,2013-14,MIA,5,4.06,3.66,-0.39999999999999986,-0.1600066997882989,1447.0,361.0,11.059999999999999,10.24,-0.10569681853658235,3902.0,1015.0,-0.010559028214831123,-0.05430988125171654
2014,2013-14,OKC,5,4.54,4.5600000000000005,0.019999999999999664,-0.03548054070112899,1610.0,428.0,12.78,12.54,-0.03614905408958172,4558.0,1173.0,-0.03261677975381531,0.0006685133884527406
2014,2013-14,POR,5,3.9200000000000004,4.08,0.15999999999999978,-0.018935550935551004,1532.0,224.0,13.34,14.64,0.09889821260220755,5199.0,805.0,-0.021347254600705162,-0.11783376353775857
2014,2013-14,SAS,5,3.04,3.1,0.05999999999999996,-0.0016830870279146205,1051.0,357.0,9.879999999999999,9.26,-0.10431438440517309,3488.0,1067.0,0.05948475789289202,0.10263129737725847
2014,2013-14,TOR,5,4.18,5.0200000000000005,0.8400000000000001,0.07884268861809698,1603.0,168.0,10.16,9.540000000000001,-0.164089724305088,3971.0,330.0,0.2858633446622899,0.24293241292318496
2014,2013-14,WAS,5,3.54,3.9,0.36000000000000015,0.1727728937728938,1271.0,211.0,12.940000000000001,13.060000000000002,0.016692006065223263,4773.0,705.0,0.01678890590964178,0.15608088770767053
