season,season_label,team,team_fta_rank,player,pos,age,reg_games,po_games,made_playoffs,reg_mp_per_g,po_mp_per_g,reg_fta_per_g,po_fta_per_g,fta_per_g_change,fta_per_g_pct_change,reg_fta_total,po_fta_total,fta_total_change,reg_fga_per_g,po_fga_per_g,fga_per_g_change,fga_per_g_pct_change,reg_fga_total,po_fga_total,fga_total_change,reg_fta_rate,po_fta_rate,fta_rate_change,fta_change_minus_fga_change
2007,2006-07,ATL,1.0,Josh Smith,SF,21.0,72.0,,False,36.8,,5.4,,,,387.0,,,13.8,,,,993.0,,,0.391304347826087,,,
2007,2006-07,ATL,2.0,Zaza Pachulia,C,22.0,72.0,,False,28.1,,5.2,,,,373.0,,,8.5,,,,614.0,,,0.611764705882353,,,
2007,2006-07,ATL,3.0,Joe Johnson,SG,25.0,57.0,,False,41.4,,5.5,,,,314.0,,,20.0,,,,1139.0,,,0.275,,,
2007,2006-07,ATL,4.0,Marvin Williams,PF,20.0,64.0,,False,34.0,,4.1,,,,265.0,,,11.0,,,,706.0,,,0.3727272727272727,,,
2007,2006-07,ATL,5.0,Josh Childress,SG,23.0,55.0,,False,36.8,,3.8,,,,210.0,,,9.4,,,,518.0,,,0.40425531914893614,,,
2007,2006-07,BOS,1.0,Paul Pierce,SG,29.0,47.0,,False,37.0,,8.6,,,,402.0,,,18.1,,,,850.0,,,0.4751381215469613,,,
2007,2006-07,BOS,2.0,Al Jefferson,C,22.0,69.0,,False,33.6,,4.3,,,,295.0,,,12.8,,,,882.0,,,0.33593749999999994,,,
2007,2006-07,BOS,3.0,Ryan Gomes,PF,24.0,73.0,,False,31.2,,3.2,,,,233.0,,,9.9,,,,723.0,,,0.32323232323232326,,,
2007,2006-07,BOS,4.0,Delonte West,SG,23.0,69.0,,False,32.2,,2.9,,,,197.0,,,10.4,,,,717.0,,,0.27884615384615385,,,
2007,2006-07,BOS,5.0,Rajon Rondo,PG,20.0,78.0,,False,23.5,,2.4,,,,184.0,,,5.8,,,,450.0,,,0.41379310344827586,,,
2007,2006-07,CHA,1.0,Gerald Wallace,SF,24.0,72.0,,False,36.7,,6.2,,,,447.0,,,13.2,,,,952.0,,,0.4696969696969697,,,
2007,2006-07,CHA,2.0,Emeka Okafor,C,24.0,67.0,,False,34.8,,4.4,,,,295.0,,,11.0,,,,740.0,,,0.4,,,
2007,2006-07,CHA,3.0,Raymond Felton,PG,22.0,78.0,,False,36.3,,3.3,,,,256.0,,,13.1,,,,1024.0,,,0.25190839694656486,,,
2007,2006-07,CHA,4.0,Matt Carroll,SG,26.0,72.0,,False,26.1,,2.9,,,,208.0,,,9.1,,,,658.0,,,0.31868131868131866,,,
2007,2006-07,CHA,5.0,Adam Morrison,PF,22.0,78.0,,False,29.8,,2.2,,,,169.0,,,12.1,,,,944.0,,,0.18181818181818185,,,
2007,2006-07,CHI,1.0,Ben Gordon,SG,23.0,82.0,10.0,True,33.0,39.5,5.4,6.3,0.8999999999999995,0.16666666666666655,440.0,63.0,-377.0,16.3,14.7,-1.6000000000000014,-0.09815950920245407,1338.0,147.0,-1191.0,0.33128834355828224,0.4285714285714286,0.09728308501314636,0.2648261758691206
2007,2006-07,CHI,2.0,Luol Deng,SF,21.0,82.0,10.0,True,37.5,41.0,4.4,5.7,1.2999999999999998,0.2954545454545454,359.0,57.0,-302.0,14.9,16.8,1.9000000000000004,0.12751677852348994,1218.0,168.0,-1050.0,0.2953020134228188,0.3392857142857143,0.04398370086289549,0.16793776693105547
2007,2006-07,CHI,3.0,Kirk Hinrich,PG,26.0,80.0,10.0,True,35.5,36.2,3.6,2.6,-1.0,-0.2777777777777778,284.0,26.0,-258.0,13.3,11.7,-1.6000000000000014,-0.12030075187969935,1061.0,117.0,-944.0,0.2706766917293233,0.22222222222222224,-0.048454469507101056,-0.15747702589807844
2007,2006-07,CHI,4.0,Ben Wallace,C,32.0,77.0,10.0,True,35.0,36.9,3.5,5.4,1.9000000000000004,0.5428571428571429,267.0,54.0,-213.0,5.5,5.3,-0.20000000000000018,-0.0363636363636364,424.0,53.0,-371.0,0.6363636363636364,1.0188679245283019,0.38250428816466553,0.5792207792207793
2007,2006-07,CHI,5.0,Tyrus Thomas,PF,20.0,72.0,10.0,True,13.4,12.2,2.4,3.0,0.6000000000000001,0.25000000000000006,175.0,30.0,-145.0,3.9,4.1,0.19999999999999973,0.05128205128205122,282.0,41.0,-241.0,0.6153846153846154,0.7317073170731708,0.11632270168855541,0.19871794871794884
2007,2006-07,CLE,1.0,LeBron James,SF,22.0,78.0,20.0,True,40.9,44.7,9.0,9.8,0.8000000000000007,0.08888888888888896,701.0,196.0,-505.0,20.8,20.0,-0.8000000000000007,-0.03846153846153849,1621.0,399.0,-1222.0,0.43269230769230765,0.49000000000000005,0.05730769230769239,0.12735042735042745
2007,2006-07,CLE,2.0,Larry Hughes,SG,28.0,70.0,18.0,True,37.1,35.5,4.4,3.5,-0.9000000000000004,-0.2045454545454546,309.0,63.0,-246.0,13.6,11.1,-2.5,-0.18382352941176472,953.0,199.0,-754.0,0.3235294117647059,0.3153153153153153,-0.008214096449390584,-0.020721925133689895
