season,season_label,team,team_fta_rank,player,pos,age,reg_games,po_games,made_playoffs,reg_mp_per_g,po_mp_per_g,reg_fta_per_g,po_fta_per_g,fta_per_g_change,fta_per_g_pct_change,reg_fta_total,po_fta_total,fta_total_change,reg_fga_per_g,po_fga_per_g,fga_per_g_change,fga_per_g_pct_change,reg_fga_total,po_fga_total,fga_total_change,reg_fta_rate,po_fta_rate,fta_rate_change,fta_change_minus_fga_change
2022,2021-22,ATL,1.0,Trae Young,PG,23.0,76.0,5.0,True,34.9,37.2,7.3,6.6,-0.7000000000000002,-0.09589041095890413,553.0,33.0,-520.0,20.3,13.8,-6.5,-0.32019704433497537,1544.0,69.0,-1475.0,0.35960591133004927,0.47826086956521735,0.11865495823516808,0.22430663337607123
2022,2021-22,ATL,2.0,John Collins,PF,24.0,54.0,5.0,True,30.8,24.4,3.1,2.0,-1.1,-0.3548387096774194,169.0,10.0,-159.0,11.9,7.8,-4.1000000000000005,-0.3445378151260505,644.0,39.0,-605.0,0.2605042016806723,0.25641025641025644,-0.004093945270415844,-0.0103008945513689
2022,2021-22,ATL,3.0,Clint Capela,C,27.0,74.0,2.0,True,27.6,20.0,2.3,0.0,-2.3,-1.0,169.0,0.0,-169.0,8.2,3.0,-5.199999999999999,-0.6341463414634146,604.0,6.0,-598.0,0.2804878048780488,0.0,-0.2804878048780488,-0.36585365853658536
2022,2021-22,ATL,4.0,De'Andre Hunter,SF,24.0,53.0,5.0,True,29.8,35.0,3.1,4.0,0.8999999999999999,0.29032258064516125,166.0,20.0,-146.0,10.8,14.0,3.1999999999999993,0.2962962962962962,575.0,70.0,-505.0,0.28703703703703703,0.2857142857142857,-0.0013227513227513366,-0.00597371565113497
2022,2021-22,ATL,5.0,Danilo Gallinari,PF,33.0,66.0,5.0,True,25.3,22.4,2.4,2.2,-0.19999999999999973,-0.08333333333333323,156.0,11.0,-145.0,9.0,9.0,0.0,0.0,597.0,45.0,-552.0,0.26666666666666666,0.24444444444444446,-0.0222222222222222,-0.08333333333333323
2022,2021-22,BOS,1.0,Jayson Tatum,SF,23.0,76.0,24.0,True,35.9,41.0,6.2,7.1,0.8999999999999995,0.14516129032258054,469.0,170.0,-299.0,20.6,19.7,-0.9000000000000021,-0.04368932038834961,1564.0,472.0,-1092.0,0.30097087378640774,0.36040609137055835,0.0594352175841506,0.18885061071093015
2022,2021-22,BOS,2.0,Jaylen Brown,SF,25.0,66.0,24.0,True,33.6,38.3,4.8,5.5,0.7000000000000002,0.14583333333333337,318.0,131.0,-187.0,18.4,17.5,-0.8999999999999986,-0.048913043478260795,1217.0,419.0,-798.0,0.2608695652173913,0.3142857142857143,0.05341614906832298,0.19474637681159418
2022,2021-22,BOS,3.0,Marcus Smart,PG,27.0,71.0,21.0,True,32.3,36.2,2.5,3.0,0.5,0.2,179.0,62.0,-117.0,10.1,13.3,3.200000000000001,0.31683168316831695,718.0,279.0,-439.0,0.24752475247524752,0.22556390977443608,-0.021960842700811445,-0.11683168316831694
2022,2021-22,BOS,4.0,Dennis Schr̦der,PG,28.0,49.0,,False,29.2,,3.0,,,,145.0,,,11.9,,,,584.0,,,0.25210084033613445,,,
2022,2021-22,BOS,5.0,Al Horford,C,35.0,69.0,23.0,True,29.1,35.4,1.4,1.6,0.20000000000000018,0.142857142857143,95.0,36.0,-59.0,8.2,8.4,0.20000000000000107,0.024390243902439157,569.0,193.0,-376.0,0.17073170731707318,0.19047619047619047,0.019744483159117282,0.11846689895470383
2022,2021-22,BRK,1.0,Kevin Durant,PF,33.0,55.0,4.0,True,37.2,44.0,7.4,9.5,2.0999999999999996,0.2837837837837837,409.0,38.0,-371.0,20.3,20.8,0.5,0.02463054187192118,1115.0,83.0,-1032.0,0.3645320197044335,0.4567307692307692,0.09219874952633572,0.2591532419118625
2022,2021-22,BRK,2.0,James Harden,PG,32.0,44.0,,False,37.0,,8.0,,,,350.0,,,16.0,,,,706.0,,,0.5,,,
2022,2021-22,BRK,3.0,Kyrie Irving,PG,29.0,29.0,4.0,True,37.6,42.5,4.4,5.3,0.8999999999999995,0.20454545454545442,129.0,21.0,-108.0,21.2,15.8,-5.399999999999999,-0.2547169811320754,616.0,63.0,-553.0,0.2075471698113208,0.3354430379746835,0.1278958681633627,0.45926243567752983
2022,2021-22,BRK,4.0,Bruce Brown,SF,25.0,72.0,4.0,True,24.6,34.8,1.8,2.5,0.7,0.38888888888888884,128.0,10.0,-118.0,7.0,9.3,2.3000000000000007,0.3285714285714287,506.0,37.0,-469.0,0.2571428571428572,0.26881720430107525,0.011674347158218079,0.06031746031746016
2022,2021-22,BRK,5.0,Cam Thomas,SG,20.0,67.0,1.0,True,17.6,0.0,1.6,0.0,-1.6,-1.0,105.0,0.0,-105.0,7.5,0.0,-7.5,-1.0,503.0,0.0,-503.0,0.21333333333333335,,,0.0
2022,2021-22,CHI,1.0,DeMar DeRozan,PF,32.0,76.0,5.0,True,36.1,40.6,7.8,6.0,-1.7999999999999998,-0.23076923076923075,593.0,30.0,-563.0,20.2,19.0,-1.1999999999999993,-0.059405940594059375,1535.0,95.0,-1440.0,0.38613861386138615,0.3157894736842105,-0.07034914017717564,-0.17136329017517138
