season,season_label,team,team_fta_rank,player,pos,age,reg_games,po_games,made_playoffs,reg_mp_per_g,po_mp_per_g,reg_fta_per_g,po_fta_per_g,fta_per_g_change,fta_per_g_pct_change,reg_fta_total,po_fta_total,fta_total_change,reg_fga_per_g,po_fga_per_g,fga_per_g_change,fga_per_g_pct_change,reg_fga_total,po_fga_total,fga_total_change,reg_fta_rate,po_fta_rate,fta_rate_change,fta_change_minus_fga_change
2020,2019-20,ATL,1.0,Trae Young,PG,21.0,60.0,,False,35.3,,9.3,,,,559.0,,,20.8,,,,1249.0,,,0.44711538461538464,,,
2020,2019-20,ATL,2.0,John Collins,PF,22.0,41.0,,False,33.2,,3.7,,,,150.0,,,14.8,,,,605.0,,,0.25,,,
2020,2019-20,ATL,3.0,De'Andre Hunter,SF,22.0,63.0,,False,32.0,,2.3,,,,144.0,,,10.8,,,,683.0,,,0.21296296296296294,,,
2020,2019-20,ATL,4.0,Cam Reddish,SF,20.0,58.0,,False,26.7,,2.2,,,,126.0,,,9.6,,,,554.0,,,0.22916666666666669,,,
2020,2019-20,ATL,5.0,Damian Jones,C,24.0,55.0,,False,16.1,,1.5,,,,84.0,,,3.2,,,,178.0,,,0.46875,,,
2020,2019-20,BOS,1.0,Jayson Tatum,PF,21.0,66.0,17.0,True,34.3,40.6,4.7,7.2,2.5,0.5319148936170213,313.0,123.0,-190.0,18.6,19.6,1.0,0.05376344086021505,1226.0,334.0,-892.0,0.25268817204301075,0.36734693877551017,0.11465876673249942,0.4781514527568062
2020,2019-20,BOS,2.0,Jaylen Brown,SG,23.0,57.0,17.0,True,33.9,39.5,4.3,3.7,-0.5999999999999996,-0.13953488372093015,243.0,63.0,-180.0,15.6,16.9,1.299999999999999,0.08333333333333327,887.0,288.0,-599.0,0.27564102564102566,0.21893491124260359,-0.056706114398422075,-0.2228682170542634
2020,2019-20,BOS,3.0,Kemba Walker,PG,29.0,56.0,17.0,True,31.1,36.9,4.3,4.8,0.5,0.11627906976744186,242.0,81.0,-161.0,15.9,15.1,-0.8000000000000007,-0.050314465408805076,889.0,256.0,-633.0,0.27044025157232704,0.31788079470198677,0.04744054312965973,0.16659353517624692
2020,2019-20,BOS,4.0,Marcus Smart,SG,25.0,60.0,17.0,True,32.0,38.1,2.5,3.3,0.7999999999999998,0.31999999999999995,152.0,56.0,-96.0,11.4,11.6,0.1999999999999993,0.017543859649122744,682.0,198.0,-484.0,0.21929824561403508,0.28448275862068967,0.06518451300665459,0.3024561403508772
2020,2019-20,BOS,5.0,Gordon Hayward,SF,29.0,52.0,5.0,True,33.5,31.4,2.8,1.6,-1.1999999999999997,-0.4285714285714285,145.0,8.0,-137.0,13.5,10.0,-3.5,-0.25925925925925924,700.0,50.0,-650.0,0.2074074074074074,0.16,-0.0474074074074074,-0.16931216931216925
2020,2019-20,BRK,1.0,Spencer Dinwiddie,PG,26.0,64.0,,False,31.2,,7.0,,,,446.0,,,16.0,,,,1021.0,,,0.4375,,,
2020,2019-20,BRK,2.0,Jarrett Allen,C,21.0,70.0,4.0,True,26.5,33.0,3.9,4.0,0.10000000000000009,0.025641025641025664,270.0,16.0,-254.0,6.6,6.0,-0.5999999999999996,-0.09090909090909086,465.0,24.0,-441.0,0.5909090909090909,0.6666666666666666,0.07575757575757569,0.11655011655011652
2020,2019-20,BRK,3.0,Caris LeVert,SG,25.0,45.0,4.0,True,29.6,35.0,4.4,6.3,1.8999999999999995,0.43181818181818166,197.0,25.0,-172.0,16.3,18.3,2.0,0.12269938650306748,732.0,73.0,-659.0,0.26993865030674846,0.3442622950819672,0.07432364477521874,0.30911879531511416
2020,2019-20,BRK,4.0,DeAndre Jordan,C,31.0,56.0,,False,22.0,,2.2,,,,122.0,,,5.1,,,,287.0,,,0.4313725490196079,,,
2020,2019-20,BRK,5.0,Kyrie Irving,PG,27.0,20.0,,False,32.9,,5.1,,,,102.0,,,20.8,,,,416.0,,,0.24519230769230765,,,
2020,2019-20,CHI,1.0,Zach LaVine,SF,24.0,60.0,,False,34.8,,5.6,,,,334.0,,,20.0,,,,1199.0,,,0.27999999999999997,,,
2020,2019-20,CHI,2.0,Lauri Markkanen,PF,22.0,50.0,,False,29.8,,3.1,,,,153.0,,,11.8,,,,591.0,,,0.2627118644067796,,,
2020,2019-20,CHI,3.0,Wendell Carter Jr.,C,20.0,43.0,,False,29.2,,3.5,,,,152.0,,,8.0,,,,343.0,,,0.4375,,,
2020,2019-20,CHI,4.0,Coby White,PG,19.0,65.0,,False,25.8,,2.0,,,,129.0,,,12.2,,,,792.0,,,0.1639344262295082,,,
2020,2019-20,CHI,5.0,TomÃ¡Å¡ SatoranskÃ½,SG,28.0,65.0,,False,28.9,,1.9,,,,121.0,,,8.5,,,,551.0,,,0.22352941176470587,,,
2020,2019-20,CHO,1.0,Devonte' Graham,PG,24.0,63.0,,False,35.1,,3.7,,,,233.0,,,15.3,,,,963.0,,,0.24183006535947713,,,
2020,2019-20,CHO,2.0,Terry Rozier,PG,25.0,63.0,,False,34.3,,3.0,,,,190.0,,,14.9,,,,941.0,,,0.20134228187919462,,,
2020,2019-20,CHO,3.0,Cody Zeller,C,27.0,58.0,,False,23.1,,3.1,,,,179.0,,,8.3,,,,479.0,,,0.37349397590361444,,,
2020,2019-20,CHO,4.0,Bismack Biyombo,C,27.0,53.0,,False,19.4,,2.8,,,,151.0,,,5.2,,,,278.0,,,0.5384615384615384,,,
2020,2019-20,CHO,5.0,P.J. Washington,PF,21.0,58.0,,False,30.3,,2.3,,,,136.0,,,10.2,,,,589.0,,,0.22549019607843138,,,
2020,2019-20,CLE,1.0,Collin Sexton,PG,21.0,65.0,,False,33.0,,4.1,,,,267.0,,,16.7,,,,1086.0,,,0.24550898203592814,,,
2020,2019-20,CLE,2.0,Kevin Love,PF,31.0,56.0,,False,31.8,,3.9,,,,219.0,,,13.0,,,,727.0,,,0.3,,,
2020,2019-20,CLE,3.0,Tristan Thompson,C,28.0,57.0,,False,30.2,,2.8,,,,161.0,,,9.9,,,,562.0,,,0.2828282828282828,,,
2020,2019-20,CLE,4.0,Kevin Porter Jr.,SF,19.0,50.0,,False,23.2,,2.0,,,,101.0,,,8.4,,,,421.0,,,0.23809523809523808,,,
2020,2019-20,CLE,5.0,Cedi Osman,SF,24.0,65.0,,False,29.4,,1.4,,,,94.0,,,9.4,,,,609.0,,,0.14893617021276595,,,
2020,2019-20,DAL,1.0,Luka DonÄiÄ,PG,20.0,61.0,6.0,True,33.6,35.8,9.2,10.7,1.5,0.16304347826086957,562.0,64.0,-498.0,20.6,21.3,0.6999999999999993,0.03398058252427181,1255.0,128.0,-1127.0,0.44660194174757273,0.5023474178403755,0.05574547609280278,0.12906289573659777
2020,2019-20,DAL,2.0,Kristaps PorziÅÄ£is,C,24.0,57.0,3.0,True,31.8,31.3,5.0,7.7,2.7,0.54,283.0,23.0,-260.0,16.4,13.3,-3.099999999999998,-0.18902439024390233,932.0,40.0,-892.0,0.30487804878048785,0.5789473684210527,0.2740693196405648,0.7290243902439024
2020,2019-20,DAL,3.0,Tim Hardaway Jr.,SG,27.0,71.0,6.0,True,29.5,34.0,2.6,1.8,-0.8,-0.3076923076923077,182.0,11.0,-171.0,12.5,15.8,3.3000000000000007,0.26400000000000007,884.0,95.0,-789.0,0.20800000000000002,0.11392405063291139,-0.09407594936708863,-0.5716923076923077
2020,2019-20,DAL,4.0,Dwight Powell,C,28.0,40.0,,False,26.5,,2.8,,,,111.0,,,5.7,,,,229.0,,,0.49122807017543857,,,
2020,2019-20,DAL,5.0,Dorian Finney-Smith,PF,26.0,71.0,6.0,True,29.9,31.8,1.5,0.8,-0.7,-0.4666666666666666,108.0,5.0,-103.0,7.4,8.7,1.299999999999999,0.17567567567567552,522.0,52.0,-470.0,0.2027027027027027,0.09195402298850576,-0.11074867971419693,-0.6423423423423421
2020,2019-20,DEN,1.0,Nikola JokiÄ,C,24.0,73.0,19.0,True,32.0,36.5,4.1,4.2,0.10000000000000053,0.024390243902439157,301.0,79.0,-222.0,14.7,18.1,3.400000000000002,0.23129251700680287,1071.0,343.0,-728.0,0.2789115646258503,0.23204419889502761,-0.0468673657308227,-0.2069022731043637
2020,2019-20,DEN,2.0,Jerami Grant,PF,25.0,71.0,19.0,True,26.6,34.4,2.8,2.8,0.0,0.0,196.0,54.0,-142.0,8.9,9.2,0.29999999999999893,0.03370786516853921,634.0,175.0,-459.0,0.3146067415730337,0.30434782608695654,-0.010258915486077158,-0.03370786516853921
2020,2019-20,DEN,3.0,Jamal Murray,PG,22.0,59.0,19.0,True,32.3,39.6,3.1,4.1,0.9999999999999996,0.32258064516129015,185.0,78.0,-107.0,15.2,19.4,4.199999999999999,0.2763157894736842,894.0,368.0,-526.0,0.20394736842105265,0.211340206185567,0.007392837764514354,0.046264855687605966
2020,2019-20,DEN,4.0,Mason Plumlee,C,29.0,61.0,19.0,True,17.3,10.8,2.5,0.6,-1.9,-0.76,155.0,12.0,-143.0,4.7,2.1,-2.6,-0.5531914893617021,288.0,39.0,-249.0,0.5319148936170213,0.2857142857142857,-0.24620060790273557,-0.20680851063829786
2020,2019-20,DEN,5.0,Paul Millsap,PF,34.0,51.0,19.0,True,24.3,24.2,2.8,2.8,0.0,0.0,141.0,54.0,-87.0,8.6,6.2,-2.3999999999999995,-0.2790697674418604,438.0,118.0,-320.0,0.3255813953488372,0.4516129032258064,0.1260315078769692,0.2790697674418604
2020,2019-20,DET,1.0,Andre Drummond,C,26.0,49.0,,False,33.8,,5.2,,,,255.0,,,13.9,,,,679.0,,,0.37410071942446044,,,
2020,2019-20,DET,2.0,Christian Wood,PF,24.0,62.0,,False,21.4,,3.9,,,,242.0,,,8.2,,,,508.0,,,0.475609756097561,,,
2020,2019-20,DET,3.0,Derrick Rose,PG,31.0,50.0,,False,26.0,,2.8,,,,139.0,,,15.1,,,,753.0,,,0.18543046357615894,,,
2020,2019-20,DET,4.0,Bruce Brown,PG,23.0,58.0,,False,28.2,,2.1,,,,119.0,,,7.7,,,,447.0,,,0.2727272727272727,,,
2020,2019-20,DET,5.0,Thon Maker,C,22.0,60.0,,False,12.9,,1.8,,,,110.0,,,3.2,,,,193.0,,,0.5625,,,
2020,2019-20,GSW,1.0,Alec Burks,SF,28.0,48.0,,False,29.0,,4.7,,,,224.0,,,12.5,,,,601.0,,,0.376,,,
