season,season_label,team,team_fta_rank,player,pos,age,reg_games,po_games,made_playoffs,reg_mp_per_g,po_mp_per_g,reg_fta_per_g,po_fta_per_g,fta_per_g_change,fta_per_g_pct_change,reg_fta_total,po_fta_total,fta_total_change,reg_fga_per_g,po_fga_per_g,fga_per_g_change,fga_per_g_pct_change,reg_fga_total,po_fga_total,fga_total_change,reg_fta_rate,po_fta_rate,fta_rate_change,fta_change_minus_fga_change
2023,2022-23,ATL,1.0,Trae Young,PG,24.0,73.0,6.0,True,34.8,38.3,8.8,7.2,-1.6000000000000005,-0.18181818181818185,639.0,43.0,-596.0,19.0,24.8,5.800000000000001,0.3052631578947369,1390.0,149.0,-1241.0,0.46315789473684216,0.2903225806451613,-0.17283531409168085,-0.4870813397129188
2023,2022-23,ATL,2.0,De'Andre Hunter,SF,25.0,67.0,6.0,True,31.7,37.3,3.1,1.7,-1.4000000000000001,-0.4516129032258065,207.0,10.0,-197.0,12.3,14.2,1.8999999999999986,0.15447154471544702,822.0,85.0,-737.0,0.25203252032520324,0.11971830985915494,-0.1323142104660483,-0.6060844479412535
2023,2022-23,ATL,3.0,Onyeka Okongwu,C,22.0,80.0,6.0,True,23.1,21.8,2.5,1.7,-0.8,-0.32,196.0,10.0,-186.0,6.2,4.2,-2.0,-0.3225806451612903,497.0,25.0,-472.0,0.4032258064516129,0.4047619047619047,0.0015360983102918335,0.002580645161290307
2023,2022-23,ATL,4.0,Dejounte Murray,SG,26.0,74.0,5.0,True,36.4,38.0,2.6,1.8,-0.8,-0.3076923076923077,190.0,9.0,-181.0,17.8,20.6,2.8000000000000007,0.15730337078651688,1319.0,103.0,-1216.0,0.14606741573033707,0.08737864077669903,-0.05868877495363804,-0.4649956784788246
2023,2022-23,ATL,5.0,John Collins,PF,25.0,71.0,6.0,True,30.0,27.3,2.5,1.0,-1.5,-0.6,178.0,6.0,-172.0,10.0,10.0,0.0,0.0,707.0,60.0,-647.0,0.25,0.1,-0.15,-0.6
2023,2022-23,BOS,1.0,Jayson Tatum,SF,24.0,74.0,20.0,True,36.9,40.0,8.4,6.9,-1.5,-0.17857142857142858,622.0,137.0,-485.0,21.1,20.2,-0.9000000000000021,-0.04265402843601906,1559.0,404.0,-1155.0,0.3981042654028436,0.3415841584158416,-0.056520106987001995,-0.1359174001354095
2023,2022-23,BOS,2.0,Jaylen Brown,SF,26.0,67.0,20.0,True,35.9,37.6,5.1,3.7,-1.3999999999999995,-0.27450980392156854,344.0,74.0,-270.0,20.6,18.3,-2.3000000000000007,-0.11165048543689324,1383.0,365.0,-1018.0,0.24757281553398056,0.20218579234972678,-0.04538702318425378,-0.1628593184846753
2023,2022-23,BOS,3.0,Derrick White,SG,28.0,82.0,20.0,True,28.3,29.7,2.3,1.7,-0.5999999999999999,-0.26086956521739124,192.0,34.0,-158.0,9.2,9.2,0.0,0.0,758.0,184.0,-574.0,0.25,0.1847826086956522,-0.06521739130434781,-0.26086956521739124
2023,2022-23,BOS,4.0,Malcolm Brogdon,PG,30.0,67.0,19.0,True,26.0,24.9,2.7,1.8,-0.9000000000000001,-0.33333333333333337,184.0,35.0,-149.0,10.9,10.3,-0.5999999999999996,-0.055045871559632996,732.0,196.0,-536.0,0.24770642201834864,0.17475728155339806,-0.07294914046495057,-0.2782874617737004
2023,2022-23,BOS,5.0,Grant Williams,PF,24.0,79.0,15.0,True,25.9,17.7,1.5,0.7,-0.8,-0.5333333333333333,122.0,10.0,-112.0,6.0,3.5,-2.5,-0.4166666666666667,476.0,53.0,-423.0,0.25,0.19999999999999998,-0.05000000000000002,-0.11666666666666664
2023,2022-23,BRK,1.0,Kevin Durant,PF,34.0,39.0,,False,36.0,,7.3,,,,286.0,,,18.8,,,,734.0,,,0.3882978723404255,,,
2023,2022-23,BRK,2.0,Nic Claxton,C,23.0,76.0,4.0,True,29.9,29.3,3.2,2.5,-0.7000000000000002,-0.21875000000000006,246.0,10.0,-236.0,7.7,6.3,-1.4000000000000004,-0.18181818181818185,587.0,25.0,-562.0,0.4155844155844156,0.39682539682539686,-0.018759018759018753,-0.036931818181818205
2023,2022-23,BRK,3.0,Mikal Bridges,SG,26.0,27.0,4.0,True,34.2,39.3,6.6,5.8,-0.7999999999999998,-0.12121212121212119,179.0,23.0,-156.0,18.6,19.3,0.6999999999999993,0.0376344086021505,503.0,77.0,-426.0,0.3548387096774193,0.30051813471502586,-0.05432057496239345,-0.1588465298142717
2023,2022-23,BRK,4.0,Kyrie Irving,PG,30.0,40.0,,False,37.0,,4.5,,,,179.0,,,20.5,,,,819.0,,,0.21951219512195122,,,
2023,2022-23,BRK,5.0,Cam Thomas,SG,21.0,57.0,2.0,True,16.6,8.0,3.1,0.0,-3.1,-1.0,174.0,0.0,-174.0,8.0,3.5,-4.5,-0.5625,456.0,7.0,-449.0,0.3875,0.0,-0.3875,-0.4375
2023,2022-23,CHI,1.0,DeMar DeRozan,SF,33.0,74.0,,False,36.2,,7.1,,,,523.0,,,17.6,,,,1303.0,,,0.4034090909090909,,,
2023,2022-23,CHI,2.0,Zach LaVine,SG,27.0,77.0,,False,35.9,,5.6,,,,428.0,,,18.0,,,,1388.0,,,0.3111111111111111,,,
2023,2022-23,CHI,3.0,Nikola VuÄeviÄ,C,32.0,82.0,,False,33.5,,1.9,,,,158.0,,,14.0,,,,1148.0,,,0.1357142857142857,,,
2023,2022-23,CHI,4.0,Andre Drummond,C,29.0,67.0,,False,12.7,,1.9,,,,125.0,,,4.1,,,,274.0,,,0.4634146341463415,,,
2023,2022-23,CHI,5.0,Patrick Williams,PF,21.0,82.0,,False,28.3,,1.3,,,,105.0,,,8.3,,,,677.0,,,0.1566265060240964,,,
2023,2022-23,CHO,1.0,Mason Plumlee,C,32.0,56.0,,False,28.5,,4.6,,,,256.0,,,7.1,,,,396.0,,,0.647887323943662,,,
2023,2022-23,CHO,2.0,Terry Rozier,SG,28.0,63.0,,False,35.3,,3.5,,,,220.0,,,18.9,,,,1188.0,,,0.1851851851851852,,,
2023,2022-23,CHO,3.0,Kelly Oubre Jr.,SF,27.0,48.0,,False,32.3,,4.3,,,,208.0,,,17.1,,,,819.0,,,0.25146198830409355,,,
2023,2022-23,CHO,4.0,Nick Richards,C,25.0,65.0,,False,18.7,,2.8,,,,183.0,,,4.8,,,,313.0,,,0.5833333333333334,,,
2023,2022-23,CHO,5.0,P.J. Washington,PF,24.0,73.0,,False,32.6,,2.4,,,,174.0,,,13.4,,,,978.0,,,0.1791044776119403,,,
2023,2022-23,CLE,1.0,Donovan Mitchell,SG,26.0,68.0,5.0,True,35.8,41.4,5.4,3.6,-1.8000000000000003,-0.33333333333333337,368.0,18.0,-350.0,20.6,20.8,0.1999999999999993,0.009708737864077634,1402.0,104.0,-1298.0,0.2621359223300971,0.17307692307692307,-0.08905899925317401,-0.343042071197411
2023,2022-23,CLE,2.0,Darius Garland,PG,23.0,69.0,5.0,True,35.5,37.8,4.7,5.0,0.2999999999999998,0.0638297872340425,321.0,25.0,-296.0,16.4,16.0,-0.3999999999999986,-0.02439024390243894,1129.0,80.0,-1049.0,0.28658536585365857,0.3125,0.02591463414634143,0.08822003113648144
