season,team_name,team_abbr,playoff_games,po_ft_rate,season_label,reg_ft_rate,reg_ft_rate_allowed,po_ft_rate_allowed,ft_rate_change,ft_rate_allowed_change,net_ft_rate_swing
2000,Charlotte Hornets,CHH,4,0.36,1999-00,0.376243685902342,0.2653061224489796,0.315625,-0.016243685902341987,0.05031887755102038,-0.06656256345336237
2000,Detroit Pistons,DET,3,0.3894230769230769,1999-00,0.3776940467219292,0.33358186698478975,0.3395348837209302,0.011729030201147739,0.0059530167361404596,0.005776013465007279
2000,Indiana Pacers,IND,23,0.3224917309812569,1999-00,0.3024096385542169,0.26081352048123746,0.3198707592891761,0.02008209242704001,0.05905723880793862,-0.038975146380898607
2000,Los Angeles Lakers,LAL,23,0.3931855056787453,1999-00,0.34640140433001754,0.29967760844079716,0.3697339246119734,0.046784101348727736,0.07005631617117625,-0.02327221482244851
2000,Miami Heat,MIA,10,0.3283582089552239,1999-00,0.2827298050139276,0.3065959059893859,0.3520336605890603,0.0456284039412963,0.04543775459967442,0.00019064934162188463
2000,Milwaukee Bucks,MIL,5,0.26634382566585957,1999-00,0.29031785557345835,0.33729680915111376,0.33578431372549017,-0.02397402990759878,-0.0015124954256235945,-0.022461534481975187
2000,Minnesota Timberwolves,MIN,4,0.22875816993464052,1999-00,0.2560057887120116,0.33226885644768855,0.3170731707317073,-0.027247618777371058,-0.015195685715981233,-0.012051933061389825
2000,New York Knicks,NYK,16,0.3177892918825561,1999-00,0.2831816755569501,0.3365114098155674,0.3283582089552239,0.034607616325605994,-0.00815320086034349,0.042760817185949485
2000,Philadelphia 76ers,PHI,10,0.36875,1999-00,0.3285123966942149,0.3034116755117513,0.31047865459249674,0.04023760330578513,0.007066979080745439,0.03317062422503969
2000,Phoenix Suns,PHO,9,0.2743243243243243,1999-00,0.28562989218726925,0.33083270817704424,0.44396551724137934,-0.011305567862944954,0.1131328090643351,-0.12443837692728005
2000,Portland Trail Blazers,POR,16,0.38632478632478634,1999-00,0.315552099533437,0.30272990696965074,0.3658954584404456,0.07077268679134935,0.06316555147079483,0.0076071353205545145
2000,Sacramento Kings,SAC,5,0.37037037037037035,1999-00,0.27661909989023054,0.2638485978726343,0.30493273542600896,0.09375127048013981,0.041084137553374644,0.05266713292676517
2000,San Antonio Spurs,SAS,4,0.40131578947368424,1999-00,0.34631628343500703,0.2545347293909453,0.21492537313432836,0.054999506038677204,-0.039609356256616934,0.09460886229529414
2000,Seattle Supersonics,SEA,5,0.2914572864321608,1999-00,0.28217679239850274,0.2586082697017721,0.2734375,0.009280494033658049,0.014829230298227913,-0.005548736264569865
2000,Toronto Raptors,TOR,3,0.4189189189189189,1999-00,0.3004940424295263,0.32290249433106577,0.43283582089552236,0.1184248764893926,0.10993332656445659,0.008491549924936004
2000,Utah Jazz,UTA,10,0.31769436997319034,1999-00,0.33699059561128525,0.34310897435897436,0.36015831134564646,-0.01929622563809491,0.017049336986672103,-0.036345562624767014
2001,Charlotte Hornets,CHH,10,0.4020486555697823,2000-01,0.33010306106752807,0.2938009536994309,0.2754182754182754,0.07194559450225424,-0.018382678281155473,0.09032827278340971
2001,Dallas Mavericks,DAL,10,0.31683168316831684,2000-01,0.29094699225729603,0.3333333333333333,0.3535483870967742,0.025884690911020802,0.020215053763440904,0.005669637147579898
2001,Indiana Pacers,IND,4,0.22796352583586627,2000-01,0.3123930959415332,0.3103396678138561,0.35202492211838005,-0.08442957010566693,0.041685254304523967,-0.1261148244101909
2001,Los Angeles Lakers,LAL,16,0.37509549274255155,2000-01,0.3489902767389678,0.3101980924431401,0.3253846153846154,0.02610521600358373,0.015186522941475267,0.010918693062108464
2001,Miami Heat,MIA,3,0.2672811059907834,2000-01,0.2994566954298498,0.2903689506468615,0.45739910313901344,-0.0321755894390664,0.16703015249215192,-0.19920574193121832
2001,Milwaukee Bucks,MIL,18,0.29379310344827586,2000-01,0.27566931450426596,0.32991246604286145,0.3322170127260549,0.0181237889440099,0.0023045466831934647,0.015819242260816435
2001,Minnesota Timberwolves,MIN,4,0.27044025157232704,2000-01,0.25280163003929557,0.3284760170006072,0.3547297297297297,0.017638621533031473,0.026253712729122525,-0.008615091196091051
2001,New York Knicks,NYK,5,0.3277310924369748,2000-01,0.2786382704098096,0.3271635005682741,0.3157894736842105,0.049092822027165195,-0.011374026884063582,0.06046684891122878
2001,Orlando Magic,ORL,4,0.27298050139275765,2000-01,0.3008875309180853,0.39482997384212953,0.42857142857142855,-0.027907029525327642,0.033741454729299014,-0.061648484254626656
2001,Philadelphia 76ers,PHI,23,0.3324367939752555,2000-01,0.35100971173115464,0.2477981788326616,0.26144511858797576,-0.018572917755899143,0.01364693975531417,-0.03221985751121331
2001,Phoenix Suns,PHO,4,0.2541899441340782,2000-01,0.29199348823442356,0.3312052320149486,0.3519061583577713,-0.037803544100345365,0.020700926342822668,-0.05850447044316803
2001,Portland Trail Blazers,POR,3,0.3406113537117904,2000-01,0.2959326788218794,0.29987569919204476,0.3346303501945525,0.04467867488991101,0.03475465100250774,0.009924023887403266
2001,Sacramento Kings,SAC,8,0.3328488372093023,2000-01,0.2977471660209499,0.24149040481860204,0.36484490398818314,0.03510167118835239,0.1233544991695811,-0.08825282798122872
2001,San Antonio Spurs,SAS,13,0.3528816986855409,2000-01,0.3736825295432769,0.24579025110782865,0.26636363636363636,-0.020800830857735986,0.020573385255807708,-0.041374216113543694
2001,Toronto Raptors,TOR,12,0.2620545073375262,2000-01,0.28456683878370626,0.2810408921933085,0.33148558758314856,-0.022512331446180034,0.05044469538984003,-0.07295702683602007
