season,season_label,team,team_fta_rank,player,pos,age,reg_games,po_games,made_playoffs,reg_mp_per_g,po_mp_per_g,reg_fta_per_g,po_fta_per_g,fta_per_g_change,fta_per_g_pct_change,reg_fta_total,po_fta_total,fta_total_change,reg_fga_per_g,po_fga_per_g,fga_per_g_change,fga_per_g_pct_change,reg_fga_total,po_fga_total,fga_total_change,reg_fta_rate,po_fta_rate,fta_rate_change,fta_change_minus_fga_change
2017,2016-17,ATL,1.0,Dwight Howard,C,31.0,74.0,6.0,True,29.7,26.2,5.7,3.2,-2.5,-0.43859649122807015,424.0,19.0,-405.0,8.3,6.0,-2.3000000000000007,-0.2771084337349398,613.0,36.0,-577.0,0.6867469879518072,0.5333333333333333,-0.1534136546184739,-0.16148805749313033
2017,2016-17,ATL,2.0,Paul Millsap,PF,31.0,69.0,6.0,True,34.0,36.5,5.9,8.8,2.9000000000000004,0.4915254237288136,405.0,53.0,-352.0,14.1,16.5,2.4000000000000004,0.17021276595744683,972.0,99.0,-873.0,0.4184397163120568,0.5333333333333333,0.11489361702127654,0.32131265777136675
2017,2016-17,ATL,3.0,Dennis SchrÃ¶der,PG,23.0,79.0,6.0,True,31.5,35.2,3.2,6.2,3.0,0.9375,255.0,37.0,-218.0,15.4,18.3,2.9000000000000004,0.18831168831168832,1214.0,110.0,-1104.0,0.2077922077922078,0.33879781420765026,0.13100560641544245,0.7491883116883117
2017,2016-17,ATL,4.0,Tim Hardaway Jr.,SG,24.0,79.0,6.0,True,27.3,33.3,2.7,3.2,0.5,0.18518518518518517,214.0,19.0,-195.0,11.5,13.7,2.1999999999999993,0.1913043478260869,912.0,82.0,-830.0,0.23478260869565218,0.23357664233576644,-0.001205966359885735,-0.006119162640901732
2017,2016-17,ATL,5.0,Kent Bazemore,SF,27.0,73.0,6.0,True,26.9,25.0,2.3,2.3,0.0,0.0,168.0,14.0,-154.0,9.9,8.8,-1.0999999999999996,-0.11111111111111108,721.0,53.0,-668.0,0.2323232323232323,0.2613636363636363,0.029040404040404005,0.11111111111111108
2017,2016-17,BOS,1.0,Isaiah Thomas,PG,27.0,76.0,15.0,True,33.8,34.7,8.5,7.4,-1.0999999999999996,-0.1294117647058823,649.0,111.0,-538.0,19.4,17.4,-2.0,-0.10309278350515465,1473.0,261.0,-1212.0,0.43814432989690727,0.4252873563218391,-0.012856973575068154,-0.026318981200727662
2017,2016-17,BOS,2.0,Marcus Smart,SG,22.0,79.0,18.0,True,30.4,29.9,3.2,2.8,-0.40000000000000036,-0.1250000000000001,250.0,50.0,-200.0,9.5,7.4,-2.0999999999999996,-0.22105263157894733,749.0,134.0,-615.0,0.3368421052631579,0.37837837837837834,0.04153627311522046,0.09605263157894722
2017,2016-17,BOS,3.0,Jae Crowder,SF,26.0,72.0,18.0,True,32.4,33.1,3.0,2.7,-0.2999999999999998,-0.09999999999999994,217.0,48.0,-169.0,10.0,11.1,1.0999999999999996,0.10999999999999996,720.0,200.0,-520.0,0.3,0.24324324324324326,-0.05675675675675673,-0.2099999999999999
2017,2016-17,BOS,4.0,Al Horford,C,30.0,68.0,18.0,True,32.3,33.9,2.0,1.6,-0.3999999999999999,-0.19999999999999996,135.0,29.0,-106.0,11.8,10.6,-1.200000000000001,-0.10169491525423738,801.0,190.0,-611.0,0.1694915254237288,0.15094339622641512,-0.01854812919731369,-0.09830508474576258
2017,2016-17,BOS,5.0,Jaylen Brown,SF,20.0,78.0,17.0,True,17.2,12.6,1.6,1.1,-0.5,-0.3125,124.0,18.0,-106.0,5.4,4.2,-1.2000000000000002,-0.22222222222222224,423.0,71.0,-352.0,0.2962962962962963,0.2619047619047619,-0.03439153439153436,-0.09027777777777776
2017,2016-17,BRK,1.0,Brook Lopez,C,28.0,75.0,,False,29.6,,4.9,,,,364.0,,,15.6,,,,1172.0,,,0.31410256410256415,,,
2017,2016-17,BRK,2.0,Rondae Hollis-Jefferson,SF,22.0,78.0,,False,22.6,,3.2,,,,253.0,,,6.9,,,,542.0,,,0.463768115942029,,,
2017,2016-17,BRK,3.0,Sean Kilpatrick,SG,27.0,70.0,,False,25.1,,3.5,,,,242.0,,,10.5,,,,735.0,,,0.3333333333333333,,,
2017,2016-17,BRK,4.0,Bojan BogdanoviÄ,SF,27.0,55.0,,False,26.9,,3.0,,,,167.0,,,11.1,,,,611.0,,,0.2702702702702703,,,
2017,2016-17,BRK,5.0,Spencer Dinwiddie,PG,23.0,59.0,,False,22.6,,2.7,,,,159.0,,,5.1,,,,302.0,,,0.5294117647058825,,,
2017,2016-17,CHI,1.0,Jimmy Butler,SF,27.0,76.0,6.0,True,37.0,39.8,8.9,7.8,-1.1000000000000005,-0.12359550561797758,676.0,47.0,-629.0,16.5,18.0,1.5,0.09090909090909091,1252.0,108.0,-1144.0,0.5393939393939394,0.43333333333333335,-0.10606060606060608,-0.2145045965270685
2017,2016-17,CHI,2.0,Dwyane Wade,SG,35.0,60.0,6.0,True,29.9,31.7,4.7,3.5,-1.2000000000000002,-0.25531914893617025,281.0,21.0,-260.0,15.9,14.3,-1.5999999999999996,-0.10062893081761004,955.0,86.0,-869.0,0.29559748427672955,0.24475524475524474,-0.05084223952148481,-0.1546902181185602
2017,2016-17,CHI,3.0,Nikola MirotiÄ,PF,25.0,70.0,6.0,True,24.0,27.0,1.8,1.7,-0.10000000000000009,-0.0555555555555556,128.0,10.0,-118.0,8.9,8.3,-0.5999999999999996,-0.06741573033707861,625.0,50.0,-575.0,0.20224719101123595,0.2048192771084337,0.002572086097197751,0.011860174781523007
2017,2016-17,CHI,4.0,Taj Gibson,PF,31.0,55.0,,False,27.3,,2.2,,,,119.0,,,9.6,,,,530.0,,,0.22916666666666669,,,
2017,2016-17,CHI,5.0,Robin Lopez,C,28.0,81.0,6.0,True,28.0,27.0,1.3,1.3,0.0,0.0,104.0,8.0,-96.0,9.6,8.7,-0.9000000000000004,-0.09375000000000004,775.0,52.0,-723.0,0.13541666666666669,0.14942528735632185,0.014008620689655166,0.09375000000000004
2017,2016-17,CHO,1.0,Kemba Walker,PG,26.0,79.0,,False,34.7,,4.5,,,,359.0,,,18.3,,,,1449.0,,,0.2459016393442623,,,
2017,2016-17,CHO,2.0,Nicolas Batum,SG,28.0,77.0,,False,34.0,,3.7,,,,284.0,,,12.7,,,,975.0,,,0.2913385826771654,,,
2017,2016-17,CHO,3.0,Cody Zeller,C,24.0,62.0,,False,27.8,,3.2,,,,196.0,,,7.1,,,,443.0,,,0.45070422535211274,,,
2017,2016-17,CHO,4.0,Michael Kidd-Gilchrist,SF,23.0,81.0,,False,29.0,,2.4,,,,194.0,,,7.6,,,,618.0,,,0.3157894736842105,,,
2017,2016-17,CHO,5.0,Marco Belinelli,SG,30.0,74.0,,False,24.0,,2.3,,,,168.0,,,8.3,,,,615.0,,,0.2771084337349397,,,
2017,2016-17,CLE,1.0,LeBron James,SF,32.0,74.0,18.0,True,37.8,41.3,7.2,9.0,1.7999999999999998,0.24999999999999997,531.0,162.0,-369.0,18.2,21.3,3.1000000000000014,0.17032967032967042,1344.0,384.0,-960.0,0.39560439560439564,0.4225352112676056,0.026930815663209984,0.07967032967032955
2017,2016-17,CLE,2.0,Kyrie Irving,PG,24.0,72.0,18.0,True,35.1,36.3,4.6,4.7,0.10000000000000053,0.021739130434782726,328.0,84.0,-244.0,19.7,20.6,0.9000000000000021,0.04568527918781737,1420.0,370.0,-1050.0,0.23350253807106597,0.22815533980582522,-0.0053471982652407435,-0.023946148753034642
2017,2016-17,CLE,3.0,Kevin Love,PF,28.0,60.0,18.0,True,31.4,32.1,4.9,4.2,-0.7000000000000002,-0.14285714285714288,295.0,75.0,-220.0,14.5,12.1,-2.4000000000000004,-0.16551724137931037,867.0,218.0,-649.0,0.33793103448275863,0.34710743801652894,0.009176403533770305,0.022660098522167493
2017,2016-17,CLE,4.0,Tristan Thompson,C,25.0,78.0,18.0,True,29.9,31.2,2.7,3.3,0.5999999999999996,0.22222222222222207,213.0,60.0,-153.0,5.6,5.1,-0.5,-0.08928571428571429,437.0,92.0,-345.0,0.4821428571428572,0.6470588235294118,0.1649159663865546,0.31150793650793634
2017,2016-17,CLE,5.0,Richard Jefferson,SF,36.0,79.0,14.0,True,20.4,12.8,1.4,2.0,0.6000000000000001,0.42857142857142866,108.0,28.0,-80.0,4.3,2.7,-1.5999999999999996,-0.3720930232558139,343.0,38.0,-305.0,0.3255813953488372,0.7407407407407407,0.4151593453919035,0.8006644518272426
2017,2016-17,DAL,1.0,Harrison Barnes,PF,24.0,79.0,,False,35.5,,3.6,,,,281.0,,,16.2,,,,1280.0,,,0.22222222222222224,,,
2017,2016-17,DAL,2.0,Wesley Matthews,SG,30.0,73.0,,False,34.2,,2.5,,,,179.0,,,11.6,,,,847.0,,,0.21551724137931036,,,
2017,2016-17,DAL,3.0,Dwight Powell,C,25.0,77.0,,False,17.3,,1.8,,,,141.0,,,4.9,,,,377.0,,,0.36734693877551017,,,
2017,2016-17,DAL,4.0,Devin Harris,PG,33.0,65.0,,False,16.7,,2.0,,,,129.0,,,5.2,,,,341.0,,,0.3846153846153846,,,
2017,2016-17,DAL,5.0,Dirk Nowitzki,PF,38.0,54.0,,False,26.4,,2.1,,,,112.0,,,12.6,,,,678.0,,,0.16666666666666669,,,
2017,2016-17,DEN,1.0,Danilo Gallinari,SF,28.0,63.0,,False,33.9,,6.1,,,,387.0,,,11.9,,,,750.0,,,0.5126050420168067,,,
2017,2016-17,DEN,2.0,Nikola JokiÄ,C,21.0,73.0,,False,27.9,,3.1,,,,228.0,,,11.7,,,,854.0,,,0.26495726495726496,,,
2017,2016-17,DEN,3.0,Wilson Chandler,SF,29.0,71.0,,False,30.9,,2.7,,,,194.0,,,13.2,,,,939.0,,,0.20454545454545456,,,
2017,2016-17,DEN,4.0,Will Barton,SG,26.0,60.0,,False,28.4,,3.2,,,,190.0,,,11.1,,,,666.0,,,0.2882882882882883,,,
2017,2016-17,DEN,5.0,Kenneth Faried,PF,27.0,61.0,,False,21.2,,3.1,,,,189.0,,,6.8,,,,416.0,,,0.4558823529411765,,,
2017,2016-17,DET,1.0,Andre Drummond,C,23.0,81.0,,False,29.7,,4.4,,,,355.0,,,11.2,,,,911.0,,,0.3928571428571429,,,
2017,2016-17,DET,2.0,Tobias Harris,PF,24.0,82.0,,False,31.3,,2.8,,,,226.0,,,13.0,,,,1063.0,,,0.21538461538461537,,,
2017,2016-17,DET,3.0,Kentavious Caldwell-Pope,SG,23.0,76.0,,False,33.3,,2.4,,,,185.0,,,12.2,,,,928.0,,,0.19672131147540983,,,
2017,2016-17,DET,4.0,Marcus Morris,SF,27.0,79.0,,False,32.5,,2.3,,,,185.0,,,12.7,,,,1007.0,,,0.1811023622047244,,,
2017,2016-17,DET,5.0,Reggie Jackson,PG,26.0,52.0,,False,27.4,,2.6,,,,136.0,,,13.0,,,,677.0,,,0.2,,,
2017,2016-17,GSW,1.0,Kevin Durant,PF,28.0,62.0,15.0,True,33.4,35.5,6.2,6.9,0.7000000000000002,0.11290322580645164,384.0,103.0,-281.0,16.5,17.9,1.3999999999999986,0.08484848484848476,1026.0,268.0,-758.0,0.3757575757575758,0.38547486033519557,0.009717284577619778,0.02805474095796688
2017,2016-17,GSW,2.0,Stephen Curry,PG,28.0,79.0,17.0,True,33.4,35.4,4.6,6.7,2.1000000000000005,0.4565217391304349,362.0,114.0,-248.0,18.3,18.4,0.09999999999999787,0.005464480874316823,1443.0,312.0,-1131.0,0.2513661202185792,0.36413043478260876,0.11276431456402958,0.4510572582561181
2017,2016-17,GSW,3.0,Klay Thompson,SG,26.0,78.0,17.0,True,34.0,35.1,2.8,1.9,-0.8999999999999999,-0.3214285714285714,218.0,33.0,-185.0,17.6,13.9,-3.700000000000001,-0.21022727272727276,1376.0,237.0,-1139.0,0.15909090909090906,0.13669064748201437,-0.02240026160889469,-0.11120129870129863
2017,2016-17,GSW,4.0,Draymond Green,PF,26.0,76.0,17.0,True,32.5,34.9,2.8,3.9,1.1,0.3928571428571429,213.0,67.0,-146.0,8.6,9.5,0.9000000000000004,0.10465116279069772,650.0,161.0,-489.0,0.3255813953488372,0.4105263157894737,0.0849449204406365,0.28820598006644516
2017,2016-17,GSW,5.0,Zaza Pachulia,C,32.0,70.0,15.0,True,18.1,14.1,1.8,1.1,-0.7,-0.38888888888888884,126.0,17.0,-109.0,4.4,4.0,-0.40000000000000036,-0.09090909090909098,307.0,60.0,-247.0,0.40909090909090906,0.275,-0.13409090909090904,-0.29797979797979784
2017,2016-17,HOU,1.0,James Harden,PG,27.0,81.0,11.0,True,36.4,37.0,10.9,10.5,-0.40000000000000036,-0.03669724770642205,881.0,115.0,-766.0,18.9,19.8,0.9000000000000021,0.047619047619047734,1533.0,218.0,-1315.0,0.5767195767195767,0.5303030303030303,-0.04641654641654647,-0.08431629532546978
2017,2016-17,HOU,2.0,NenÃª,C,34.0,67.0,9.0,True,17.9,17.9,2.9,3.4,0.5,0.1724137931034483,197.0,31.0,-166.0,5.9,5.7,-0.20000000000000018,-0.03389830508474579,397.0,51.0,-346.0,0.4915254237288135,0.5964912280701754,0.10496580434136188,0.20631209818819407
2017,2016-17,HOU,3.0,Clint Capela,C,22.0,65.0,11.0,True,23.9,26.0,2.7,3.5,0.7999999999999998,0.2962962962962962,177.0,39.0,-138.0,8.7,7.5,-1.1999999999999993,-0.13793103448275856,563.0,82.0,-481.0,0.31034482758620696,0.4666666666666667,0.1563218390804597,0.4342273307790548
2017,2016-17,HOU,4.0,Eric Gordon,SG,28.0,75.0,11.0,True,31.0,32.5,2.3,1.6,-0.6999999999999997,-0.30434782608695643,175.0,18.0,-157.0,13.5,11.0,-2.5,-0.18518518518518517,1016.0,121.0,-895.0,0.17037037037037037,0.14545454545454548,-0.02491582491582489,-0.11916264090177126
2017,2016-17,HOU,5.0,Ryan Anderson,PF,28.0,72.0,11.0,True,29.4,30.5,2.1,1.5,-0.6000000000000001,-0.28571428571428575,150.0,16.0,-134.0,10.7,8.4,-2.299999999999999,-0.2149532710280373,773.0,92.0,-681.0,0.19626168224299068,0.17857142857142858,-0.0176902536715621,-0.07076101468624846
2017,2016-17,IND,1.0,Jeff Teague,PG,28.0,82.0,4.0,True,32.4,35.5,5.1,4.5,-0.5999999999999996,-0.11764705882352935,415.0,18.0,-397.0,11.1,11.3,0.20000000000000107,0.018018018018018115,909.0,45.0,-864.0,0.45945945945945943,0.3982300884955752,-0.061229370963884255,-0.13566507684154747
2017,2016-17,IND,2.0,Paul George,SF,26.0,75.0,4.0,True,35.9,43.0,5.0,7.5,2.5,0.5,374.0,30.0,-344.0,18.0,22.0,4.0,0.2222222222222222,1348.0,88.0,-1260.0,0.2777777777777778,0.3409090909090909,0.0631313131313131,0.2777777777777778
2017,2016-17,IND,3.0,Myles Turner,C,20.0,81.0,4.0,True,31.4,33.3,3.7,2.0,-1.7000000000000002,-0.4594594594594595,303.0,8.0,-295.0,10.7,11.0,0.3000000000000007,0.028037383177570162,869.0,44.0,-825.0,0.3457943925233645,0.18181818181818182,-0.1639762107051827,-0.48749684263702964
2017,2016-17,IND,4.0,Monta Ellis,SG,31.0,74.0,4.0,True,27.0,19.0,1.7,1.3,-0.3999999999999999,-0.23529411764705876,128.0,5.0,-123.0,7.5,5.0,-2.5,-0.3333333333333333,557.0,20.0,-537.0,0.22666666666666666,0.26,0.033333333333333354,0.09803921568627455
