season,season_label,team,players_tracked,avg_reg_fta_per_g,avg_po_fta_per_g,avg_fta_per_g_change,avg_fta_per_g_pct_change,sum_reg_fta_total,sum_po_fta_total,avg_reg_fga_per_g,avg_po_fga_per_g,avg_fga_per_g_pct_change,sum_reg_fga_total,sum_po_fga_total,avg_fta_rate_change,avg_fta_change_minus_fga_change
2001,2000-01,CHH,5,4.16,5.26,1.1,0.2513758599124453,1655.0,263.0,12.559999999999999,12.760000000000002,0.004621670886671025,4979.0,638.0,0.0675552211945609,0.24675418902577428
2001,2000-01,DAL,5,4.24,4.6,0.3600000000000001,-0.0016965514837855079,1426.0,230.0,13.080000000000002,13.16,-0.009694909320288742,4429.0,658.0,-2.7210440869168685e-05,0.00799835783650323
2001,2000-01,IND,5,3.94,3.3200000000000003,-0.6199999999999999,-0.14096164127238703,1537.0,66.0,12.28,14.14,0.11687984510352185,4775.0,282.0,-0.08541001959959253,-0.25784148637590887
2001,2000-01,LAL,4,6.25,6.425,0.17500000000000027,0.0577107417500268,1820.0,411.0,14.175,14.5,-0.008768014454327774,4147.0,927.0,0.003360255706612199,0.06647875620435457
2001,2000-01,MIA,5,3.78,1.8,-1.98,-0.6066219944816712,1440.0,27.0,11.72,7.359999999999999,-0.3686438720485431,4458.0,106.0,-0.08147501453606165,-0.2379781224331281
2001,2000-01,MIL,5,3.88,3.72,-0.15999999999999984,-0.06232205778717402,1485.0,335.0,13.059999999999999,12.62,-0.08421487265530891,5026.0,1137.0,0.004453349474263379,0.02189281486813489
2001,2000-01,MIN,5,3.2,3.6799999999999997,0.4800000000000001,0.05063612249819147,1284.0,73.0,11.86,9.42,-0.25944528097431907,4758.0,186.0,0.09596937550087248,0.3100814034725105
2001,2000-01,NYK,5,3.44,4.1,0.6600000000000001,0.21895825591477772,1275.0,99.0,11.7,11.26,-0.03281284286399061,4373.0,275.0,0.08880082249679003,0.2517710987787683
2001,2000-01,ORL,5,3.7399999999999998,3.5200000000000005,-0.21999999999999992,-0.16617647058823531,1473.0,69.0,10.4,10.379999999999999,-0.15908812328345096,4050.0,206.0,0.05407366952740313,-0.007088347304784359
2001,2000-01,PHI,4,4.6,4.125,-0.4750000000000001,-0.1211549039519337,1357.0,350.0,12.525,13.75,0.03321454307061314,3730.0,1171.0,-0.059574561659825706,-0.15436944702254685
2001,2000-01,PHO,5,3.84,3.66,-0.18000000000000016,-0.01898941381700006,1531.0,73.0,13.080000000000002,13.219999999999999,0.005026449004274227,5242.0,264.0,-0.001976204730724673,-0.02401586282127429
2001,2000-01,POR,4,3.375,4.325,0.95,0.31790143964562567,1035.0,52.0,11.425,14.075,0.2459390564316789,3497.0,169.0,0.014209784518487083,0.07196238321394678
2001,2000-01,SAC,5,4.24,4.88,0.6399999999999999,0.15505734575502014,1606.0,195.0,12.68,12.559999999999999,-0.05000932572031012,4762.0,502.0,0.07012767220274803,0.20506667147533025
2001,2000-01,SAS,5,4.74,4.74,-1.7763568394002506e-16,-0.02579004231950157,1850.0,290.0,10.680000000000001,10.819999999999999,0.00395123055874661,4178.0,652.0,-0.019613520939827378,-0.02974127287824818
2001,2000-01,TOR,5,3.5200000000000005,2.9200000000000004,-0.6,-0.2157051002298449,1367.0,173.0,12.22,12.56,0.007448809085756292,4748.0,737.0,-0.06932334370702267,-0.2231539093156012
2001,2000-01,UTA,5,4.16,3.6399999999999997,-0.5199999999999999,-0.28118451548642903,1676.0,91.0,9.760000000000002,11.120000000000001,0.016844545148647593,3938.0,278.0,-0.14569768444336914,-0.2980290606350766
