season,season_label,team,team_fta_rank,player,pos,age,reg_games,po_games,made_playoffs,reg_mp_per_g,po_mp_per_g,reg_fta_per_g,po_fta_per_g,fta_per_g_change,fta_per_g_pct_change,reg_fta_total,po_fta_total,fta_total_change,reg_fga_per_g,po_fga_per_g,fga_per_g_change,fga_per_g_pct_change,reg_fga_total,po_fga_total,fga_total_change,reg_fta_rate,po_fta_rate,fta_rate_change,fta_change_minus_fga_change
2021,2020-21,ATL,1.0,Trae Young,PG,22.0,63.0,16.0,True,33.7,37.7,8.7,8.4,-0.29999999999999893,-0.03448275862068954,546.0,134.0,-412.0,17.7,22.4,4.699999999999999,0.2655367231638418,1112.0,359.0,-753.0,0.4915254237288135,0.37500000000000006,-0.11652542372881347,-0.30001948178453136
2021,2020-21,ATL,2.0,Clint Capela,C,26.0,63.0,18.0,True,30.1,31.6,3.6,2.2,-1.4,-0.38888888888888884,227.0,39.0,-188.0,11.0,7.6,-3.4000000000000004,-0.30909090909090914,695.0,136.0,-559.0,0.32727272727272727,0.2894736842105263,-0.03779904306220094,-0.0797979797979797
2021,2020-21,ATL,3.0,John Collins,PF,23.0,63.0,18.0,True,29.3,32.0,3.2,2.0,-1.2000000000000002,-0.37500000000000006,204.0,36.0,-168.0,12.2,10.1,-2.0999999999999996,-0.17213114754098358,771.0,182.0,-589.0,0.26229508196721313,0.19801980198019803,-0.0642752799870151,-0.20286885245901648
2021,2020-21,ATL,4.0,Danilo Gallinari,PF,32.0,51.0,18.0,True,24.0,24.6,3.4,2.9,-0.5,-0.14705882352941177,174.0,52.0,-122.0,9.3,9.7,0.3999999999999986,0.04301075268817189,475.0,174.0,-301.0,0.3655913978494623,0.29896907216494845,-0.06662232568451387,-0.19006957621758366
2021,2020-21,ATL,5.0,De'Andre Hunter,SF,23.0,23.0,5.0,True,29.5,30.4,3.7,3.2,-0.5,-0.13513513513513511,85.0,16.0,-69.0,10.8,9.0,-1.8000000000000007,-0.1666666666666667,248.0,45.0,-203.0,0.34259259259259256,0.35555555555555557,0.01296296296296301,0.0315315315315316
2021,2020-21,BOS,1.0,Jayson Tatum,SF,22.0,64.0,5.0,True,35.8,37.0,5.3,9.8,4.500000000000001,0.849056603773585,340.0,49.0,-291.0,20.6,22.2,1.5999999999999979,0.07766990291262126,1318.0,111.0,-1207.0,0.25728155339805825,0.4414414414414415,0.18415988804338324,0.7713867008609638
2021,2020-21,BOS,2.0,Jaylen Brown,SG,24.0,58.0,,False,34.5,,4.3,,,,250.0,,,19.2,,,,1111.0,,,0.22395833333333334,,,
2021,2020-21,BOS,3.0,Marcus Smart,PG,26.0,48.0,5.0,True,32.9,36.6,3.4,4.2,0.8000000000000003,0.2352941176470589,162.0,21.0,-141.0,10.6,13.2,2.5999999999999996,0.2452830188679245,510.0,66.0,-444.0,0.32075471698113206,0.31818181818181823,-0.0025728987993138275,-0.009988901220865598
2021,2020-21,BOS,4.0,Kemba Walker,PG,30.0,43.0,3.0,True,31.8,30.3,3.5,3.3,-0.20000000000000018,-0.0571428571428572,149.0,10.0,-139.0,15.7,13.7,-2.0,-0.12738853503184713,676.0,41.0,-635.0,0.2229299363057325,0.24087591240875914,0.017945976103026645,0.07024567788898994
2021,2020-21,BOS,5.0,Tristan Thompson,C,29.0,54.0,5.0,True,23.8,26.4,2.2,3.4,1.1999999999999997,0.5454545454545453,120.0,17.0,-103.0,6.0,6.8,0.7999999999999998,0.1333333333333333,326.0,34.0,-292.0,0.3666666666666667,0.5,0.1333333333333333,0.412121212121212
